,position,company,state,salary,currency,start_sal,end_sal,term
0,Sales Admin Assistant,S L NG Group of Companies,"Melaka, Johor Bahru",MYR 1.8K - 2.5K monthly,MYR,1800,2500,monthly
1,CUSTOMER SERVICE REPRESENTATIVE (3 MONTHS CONTRACT) - JAN 2021 INTAKE,Intelek Talent Solutions Sdn Bhd,Kuala Lumpur,MYR 1.8K - 2.1K monthly,MYR,1800,2100,monthly
3,Management Trainee,Taiko Marketing Sdn. Bhd.,Selangor,MYR 2.5K - 3.3K monthly,MYR,2500,3300,monthly
4,INDO SPEAKER | CUSTOMER SERVICE PROFESSIONAL,SRG Asia Pacific Sdn. Bhd.,Kuala Lumpur,MYR 2.5K - 3K monthly,MYR,2500,3000,monthly
5,Warehouse Assistant,Zuellig Pharma Sdn Bhd,Shah Alam/Subang,MYR 1.5K - 2.5K monthly,MYR,1500,2500,monthly
6,Customer Loyalty Program Administration Executive,Agensi Pekerjaan Chrisjac Sdn Bhd,Petaling Jaya,MYR 2.5K - 3K monthly,MYR,2500,3000,monthly
7,MANAGEMENT TRAINEE,Wei Wo Sdn Bhd,"Johor Bahru, Batu Pahat, Muar, Kluang",MYR 2.8K - 4K monthly,MYR,2800,4000,monthly
9,Beautician - Assistant (Klang),Agensi Pekerjaan SGS Sdn Bhd (JTKSM 416A),Selangor,MYR 1.5K - 3K monthly,MYR,1500,3000,monthly
12,"Property Agent, Property Consultant (Part / Full Time) 房地产中介","IQI GLOBAL CS GROUP LEADER - MATTHEW YAP (FOUNDER OF MYG, 13 Years Experience)",Kuala Lumpur,MYR 8K - 16K monthly,MYR,8000,1000,monthly
13,Human Resources & Administrative,S L NG Group of Companies,Johor Bahru,MYR 1.6K - 2.3K monthly,MYR,1600,2300,monthly
22,Merchandiser ( Home Decor ),MajuHome,Kuala Lumpur,MYR 3K - 5K monthly,MYR,3000,5000,monthly
23,Admin Assistant,REYOUNG BEAUTE (M) SDN. BHD.,Petaling Jaya,MYR 2K - 2.8K monthly,MYR,2000,2800,monthly
25,Country Manager – Fintech Solutions (e-KYC Provider) – Home Based,Capita Global Sdn Bhd,Kuala Lumpur,MYR 16K - 21K monthly,MYR,1000,2000,monthly
29,Unit Trust Consultant,Public Mutual Berhad - Rachel Lee,"Johor, Kedah, Kuala Lumpur, Kelantan, Penang, Pahang, Perak, Sabah, Selangor, Sarawak",MYR 5K - 10K monthly,MYR,5000,1000,monthly
30,Data Entry Clerk (based in Sepang),Arissto Bakery Sdn Bhd,Negeri Sembilan,MYR 1.5K - 1.8K monthly,MYR,1500,1800,monthly
36,Intellectual Property (IP) Intern,IP Gennesis Sdn. Bhd.,Kuala Lumpur,MYR 700 - 1K monthly,MYR,700,1000,monthly
37,Internship For Personal Assistant,Vinsure Management Services,Johor,MYR 500 - 1K monthly,MYR,500,1000,monthly
39,Purchasing Assistant,Artwright Group,Kuala Lumpur,MYR 2K - 2.5K monthly,MYR,2000,2500,monthly
40,Customer Service cum Admin,Agensi Pekerjaan Matchlink Sdn Bhd,"Kuala Lumpur, Selangor, Sarawak",MYR 2K - 2.5K monthly,MYR,2000,2500,monthly
41,CUSTOMER SERVICE EXECUTIVE - INBOUND CALLS (BANGSAR),Kelly Services (Malaysia) Sdn Bhd,Kuala Lumpur,MYR 1.8K - 2K monthly,MYR,1800,2000,monthly
43,DRAUGHTSMAN,Xin Xin Engineering Sdn Bhd,Rawang,MYR 3K - 5K monthly,MYR,3000,5000,monthly
44,Admin,Istevin Champions,Johor Bahru,MYR 2.2K - 3.1K monthly,MYR,2200,3100,monthly
45,Personal Assistant cum Sales Support to Managing Director,IP SERVERONE SOLUTIONS SDN BHD,Petaling Jaya,MYR 3.5K - 4.5K monthly,MYR,3500,4500,monthly
46,LORRY DRIVER,SUJI HARDWARE SDN. BHD.,Selangor,MYR 1.8K - 2.7K monthly,MYR,1800,2700,monthly
48,Property Sales Person,Multiplex Development Sdn Bhd,Nilai,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
50,Salesman (manager),CHM Motorcycle Sdn Bhd,Johor Bahru,MYR 3K - 6K monthly,MYR,3000,6000,monthly
51,Customer Relations Assistant,Elken Service Sdn Bhd,"Johor Bahru, Kuala Lumpur, Melaka, Selangor",MYR 1.8K - 2.5K monthly,MYR,1800,2500,monthly
53,Floor Servicing Crew,Down to Bones,Kuala Lumpur,MYR 1.5K - 1.7K monthly,MYR,1500,1700,monthly
54,Junior Sales Executive,GENBIJAK DOTMY SDN. BHD.-,"Kuala Lumpur, Selangor",MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
55,HR & Admin Assistant,My Hero Hypermarket Sdn Bhd,Ampang,MYR 1.5K - 1.9K monthly,MYR,1500,1900,monthly
56,Telemarketer,MUNICH ALPINA SDN BHD,Johor,MYR 1.3K - 1.5K monthly,MYR,1300,1500,monthly
57,Human resources manager,Ample Couture Sdn Bhd,Kuala Lumpur,MYR 5K - 7K monthly,MYR,5000,7000,monthly
59,3D Generalist,Moving Apes Studio Sdn Bhd,Petaling Jaya,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
60,Internship for Video Editor,GogoKids Technologies Sdn. Bhd.,Kuala Lumpur,MYR 700 - 1K monthly,MYR,700,1000,monthly
