,position,company,state,salary,currency,start_sal,end_sal,term
1,MANAGEMENT TRAINEE,Unifrozen Sdn Bhd,"Kuala Lumpur, Selangor",MYR 1.8K - 2.3K monthly,MYR,1800,2300,monthly
3,Human Resources Executive,Meadow Garden Sdn Bhd,Cameron Highlands,MYR 3K - 4.6K monthly,MYR,3000,4600,monthly
8,Admin Executive,UG PRESS SDN. BHD.,Selangor,MYR 2K - 3K monthly,MYR,2000,3000,monthly
12,"Executive, Marketing",Top Glove Corporation Berhad,Selangor,MYR 2.8K - 3.3K monthly,MYR,2800,3300,monthly
13,Assortment Executive,CLEAR EDGE CAPITAL,Kuala Lumpur,MYR 4K - 5K monthly,MYR,4000,5000,monthly
15,EXECUTIVE (INFORMATION TECHNOLOGY DEPARTMENT),Perbadanan Bekalan Air Pulau Pinang Sdn Bhd,Penang,MYR 2.8K - 5.3K monthly,MYR,2800,5300,monthly
16,Customer Service Executive,Kotak Malaysia (KOM) Sdn. Bhd.,Melaka,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
19,Procurement Executive,Ko Specialist Medical Centre,Klang/Port Klang,MYR 2.8K - 3.5K monthly,MYR,2800,3500,monthly
20,Purchasing Executive,Family Confectionery Sdn Bhd,Ipoh,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
21,Marketing Officer,GFG HOME REALTY SDN BHD,Klang/Port Klang,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
23,Admin Executive,STAYFRESH HYGIENE SERVICES SDN BHD,Melaka,MYR 1.3K - 1.6K monthly,MYR,1300,1600,monthly
25,Production Executive,OTC Cosmetic Industries Sdn Bhd,Selangor - Others,MYR 2.6K - 3K monthly,MYR,2600,3000,monthly
27,Sales Executive,Kotak Malaysia (KOM) Sdn. Bhd.,Melaka,MYR 3K - 4.2K monthly,MYR,3000,4200,monthly
29,"Technical Support Engineer/Executive (Klang Valley, Ipoh & Johor)",Innatech Communication Sdn Bhd,Selangor,MYR 3.5K - 5.2K monthly,MYR,3500,5200,monthly
31,"Account Manager –Digital Marketing, Greater China",OctoPlus Media Global Limited.,Kuala Lumpur,MYR 4K - 7K monthly,MYR,4000,7000,monthly
35,Assistant Finance Manager,Wearnes Quest Sdn Bhd,Selangor,MYR 6.5K - 8K monthly,MYR,6500,8000,monthly
38,HR/Payroll Executive,Koong Woh Tong Sdn Bhd,Kuala Lumpur,MYR 3K - 3.8K monthly,MYR,3000,3800,monthly
39,SALES ADMIN,JC CREATIVE RESOURCES,Kajang/Bangi/Serdang,MYR 1.5K - 2.1K monthly,MYR,1500,2100,monthly
52,HR Executive,J&T Express (Malaysia) Sdn Bhd - Northern Selangor,Cheras,MYR 2.2K - 3.2K monthly,MYR,2200,3200,monthly
53,Materials Corrosion Engineer,Intecorr Consultancy,Shah Alam/Subang,MYR 2.5K - 3K monthly,MYR,2500,3000,monthly
54,OPERATION CUM CUSTOMER SERVICE OFFICER,Southern Air Freight Sdn Bhd,Subang Jaya,MYR 2K - 2.3K monthly,MYR,2000,2300,monthly
56,Software Developer (.NET),Repro Solution Sdn Bhd,Selangor,MYR 4.5K - 6.5K monthly,MYR,4500,6500,monthly
57,ASSISTANT MANAGER / SENIOR EXECUTIVE  (APPLICATION) - INFORMATION TECHNOLOGY,RCE Capital Berhad,Kuala Lumpur,MYR 7K - 9K monthly,MYR,7000,9000,monthly
59,JUNIOR HR CUM ADMIN EXECUTIVE 人力资源行政部,Pine Packaging (M) Sdn Bhd,Melaka - Others,MYR 2.5K - 3.5K monthly,MYR,2500,3500,monthly
61,Customer Service Representative,Company Confidential,Selangor,MYR 3.5K - 4K monthly,MYR,3500,4000,monthly
63,Accounts Executive (PENANG),Monster Services Group Sdn Bhd,Perai,MYR 3.2K - 4.2K monthly,MYR,3200,4200,monthly
64,Human Resources Executive,ECO MEDI GLOVE SDN. BHD.,Taiping,MYR 3K - 4.5K monthly,MYR,3000,4500,monthly
70,Production Officer,Ye Chiu Non-Ferrous Metal (M) Sdn Bhd,Johor,MYR 3K - 4K monthly,MYR,3000,4000,monthly
72,Audit Assistant,Bispoint Tax Consultant Sdn Bhd,Selangor,MYR 2.3K - 3.2K monthly,MYR,2300,3200,monthly
74,Internship for Mobile App Developer (Web and Backend),Sales Connection - Good Works Technology Sdn Bhd,Subang Jaya,MYR 800 - 1.2K monthly,MYR,800,1200,monthly
76,Business Development Executive,Resourceleap Consultancy Sdn Bhd,Puchong,MYR 2.5K - 4K monthly,MYR,2500,4000,monthly
77,Senior finance and admin Executive,Angelucci sdn bhd,Kuala Lumpur,MYR 4.5K - 5.5K monthly,MYR,4500,5500,monthly
78,Sales Executive,EXY IP PLT,Selangor,MYR 2.5K - 5K monthly,MYR,2500,5000,monthly
79,Human Resources & Admin Executive,Retail 360 Sdn Bhd,Subang Jaya,MYR 3K - 4K monthly,MYR,3000,4000,monthly
